Product code;Language;Product id;Category;Price;Weight;Quantity;Zero price action;Product name;Description;Taxes;Status
705-17-04481;ru;705-17-04481;Komatsu;851.31;0,007;1;R;705-17-04481 н-йнкэжн, ;705-17-04481 н-йнкэжн, ;VAT;A
705-18-04470;ru;705-18-04470;Komatsu;1390.45;0,006;4;R;705-18-04470 сокнрмемхе, ;705-18-04470 сокнрмемхе, ;VAT;A
705-41-02480;ru;705-41-02480;Komatsu;121699.73;3,4;1;R;705-41-02480 мюяня б яанпе, ;705-41-02480 мюяня б яанпе, ;VAT;A
705-52-30281;ru;705-52-30281;Komatsu;259388.53;24,9;2;R;705-52-30281 мюяня назелмши ьеярепеммши, ;705-52-30281 мюяня назелмши ьеярепеммши, ;VAT;A
705-52-30490;ru;705-52-30490;Komatsu;229556.63;19;1;R;705-52-30490 мЮЯНЯ Б ЯАНПЕ, ;705-52-30490 мЮЯНЯ Б ЯАНПЕ, ;VAT;A
705-52-40160;ru;705-52-40160;Komatsu;271598.55;24,9;3;R;705-52-40160 мюяня ьеярепеммши, ;705-52-40160 мюяня ьеярепеммши, ;VAT;A
705-53-42000;ru;705-53-42000;Komatsu;363620.42;39,1;1;R;705-53-42000 мюяня ьеярепеммши, ;705-53-42000 мюяня ьеярепеммши, ;VAT;A
705-58-44050;ru;705-58-44050;Komatsu;366968.16;42,1;10;R;705-58-44050 мюяня ьеярепеммн-пнрнпмши яхкнбни цхдпюбкхвеяйни яхярелш, ;705-58-44050 мюяня ьеярепеммн-пнрнпмши яхкнбни цхдпюбкхвеяйни яхярелш, ;VAT;A
706-77-72130;ru;706-77-72130;Komatsu;5243.43;0,32;4;R;706-77-72130 йкюоюм, ;706-77-72130 йкюоюм, ;VAT;A
706-7K-01180;ru;706-7K-01180;Komatsu;1001776.37;105;1;R;706-7K-01180 лнрнп, ;706-7K-01180 лнрнп, ;VAT;A
706-7K-40020;ru;706-7K-40020;Komatsu;1044.37;0,01;1;R;706-7K-40020  н-йнкэжн, ;706-7K-40020  н-йнкэжн, ;VAT;A
706-7L-01111;ru;706-7L-01111;Komatsu;1565131.8;150;1;R;706-7L-01111 лнрнп б яанпе, ;706-7L-01111 лнрнп б яанпе, ;VAT;A
706-8J-41660;ru;706-8J-41660;Komatsu;34596.77;0,23;2;R;706-8J-41660 йнкэжн пюяонпмне (й-р 12ьр.), ;706-8J-41660 йнкэжн пюяонпмне (й-р 12ьр.), ;VAT;A
706-8J-42321;ru;706-8J-42321;Komatsu;332658.93;133;1;R;706-8J-42321 ъыхй, ;706-8J-42321 ъыхй, ;VAT;A
707-00-01842;ru;707-00-01842;Komatsu;331498.51;38;1;R;707-00-01842 жхкхмдп б яанпе, ;707-00-01842 жхкхмдп б яанпе, ;VAT;A
707-29-12962;ru;707-29-12962;Komatsu;155772.77;5,56;2;R;"707-29-12962 цнкнбйю жхкхмдпю						, ";"707-29-12962 цнкнбйю жхкхмдпю						, ";VAT;A
707-29-90802;ru;707-29-90802;Komatsu;27726.72;2,7;2;R;707-29-90802 цнкнбйю, ;707-29-90802 цнкнбйю, ;VAT;A
707-34-10265;ru;707-34-10265;Komatsu;9022.48;0,01;2;R;707-34-10265 н-ЙНКЭЖН, ;707-34-10265 н-ЙНКЭЖН, ;VAT;A
707-35-52910;ru;707-35-52910;Komatsu;1039.24;0,002;2;R;707-35-52910 йнкэжебне сокнрмемхе, ;707-35-52910 йнкэжебне сокнрмемхе, ;VAT;A
707-39-13110;ru;707-39-13110;Komatsu;2423.52;0,036;4;R;707-39-13110 йнкэжн, ;707-39-13110 йнкэжн, ;VAT;A
707-39-85120;ru;707-39-85120;Komatsu;2199.66;0,01;4;R;707-39-85120 йнкэжн хгмняю, ;707-39-85120 йнкэжн хгмняю, ;VAT;A
707-40-85020;ru;707-40-85020;Komatsu;8041.77;0,12;4;R;707-40-85020 тхйяюрнп, ;707-40-85020 тхйяюрнп, ;VAT;A
707-44-13180;ru;707-44-13180;Komatsu;9830.38;0,1;1;R;707-44-13180 сокнрмхрекэмне йнкэжн онпьмъ, ;707-44-13180 сокнрмхрекэмне йнкэжн онпьмъ, ;VAT;A
707-44-16150;ru;707-44-16150;Komatsu;10942.2;0,13;2;R;707-44-16150 сокнрмхрекэмне йнкэжн, ;707-44-16150 сокнрмхрекэмне йнкэжн, ;VAT;A
707-44-16910;ru;707-44-16910;Komatsu;5078.09;0,09;7;R;707-44-16910 йнкэжн пюяонпмне ярюкэ, ;707-44-16910 йнкэжн пюяонпмне ярюкэ, ;VAT;A
707-44-18930;ru;707-44-18930;Komatsu;23218.56;0,16;12;R;707-44-18930 йнкэжн, ;707-44-18930 йнкэжн, ;VAT;A
707-44-28920;ru;707-44-28920;Komatsu;32820.21;0,25;1;R;707-44-28920 йнкэжн, ;707-44-28920 йнкэжн, ;VAT;A
