Product code;Language;Product id;Category;List price;Price;Weight;Quantity;Min quantity;Shipping freight;Date added;Downloadable;Files;Ship downloadable;Inventory tracking;Free shipping;Zero price action;Thumbnail;Detailed image;Product name;Description;Meta keywords;Meta description;Search words;Page title;Taxes;Features;Options;Secondary categories;SEO name;Short description;Status;Popularity;Product URL;Max quantity;Quantity step;List qty count;Out of stock actions;Promo text;Image URL;Detailed image URL;Items in box;Box size;Usergroup IDs;Available since;Options type;Exceptions type;Vendor;Variation group code;Variation group id;Variation parent product id;Variation sub group id;Variation set as default;Цвет (Variation feature);Размер (Variation feature);Discussion
"04120-31933";"ru";"4186";"Komatsu";"0.00";"3194.73";"0.000";"5";"0";"0.00";"24 Sep 2019 12:35:37";"N";"";"N";"B";"N";"R";"";"";"04120-31933 РЕМЕНЬ ПРИВОДНОЙ";"04120-31933 РЕМЕНЬ ПРИВОДНОЙ, ";"";"";"";"";"VAT";"";"";"";"04120-31933-peleme-ophbndmni";"";"A";"";"https://service.parts/komatsu/04120-31933-peleme-ophbndmni/";"0";"0";"0";"N";"";"";"";"min:0;max:0";"length:0;width:0;height:0";"0";"";"P";"F";"КОМЕК МАШИНЕРИ";"";"";"";"";"";"";"";"D"
"04120-43128";"ru";"4187";"Komatsu";"0.00";"2820.95";"0.000";"1";"0";"0.00";"24 Sep 2019 12:35:37";"N";"";"N";"B";"N";"R";"";"";"04120-43128 РЕМЕНЬ";"04120-43128 РЕМЕНЬ, ";"";"";"";"";"VAT";"";"";"";"04120-43128-peleme";"";"A";"36";"https://service.parts/komatsu/04120-43128-peleme/";"0";"0";"0";"N";"";"";"";"min:0;max:0";"length:0;width:0;height:0";"0";"";"P";"F";"КОМЕК МАШИНЕРИ";"";"";"";"";"";"";"";"D"
"04121-21740";"ru";"4188";"Komatsu";"0.00";"5299.91";"0.000";"16";"0";"0.00";"24 Sep 2019 12:35:37";"N";"";"N";"B";"N";"R";"";"";"04121-21740 РЕМЕНЬ ПРИВОДНОЙ ДЛИНА 101 5СМ";"04121-21740 РЕМЕНЬ ПРИВОДНОЙ ДЛИНА 101 5СМ, ";"";"";"";"";"VAT";"";"";"";"04121-21740-peleme-ophbndmni-dkhmyu-101-5yal";"";"A";"3";"https://service.parts/komatsu/04121-21740-peleme-ophbndmni-dkhmyu-101-5yal/";"0";"0";"0";"N";"";"";"";"min:0;max:0";"length:0;width:0;height:0";"0";"";"P";"F";"КОМЕК МАШИНЕРИ";"";"";"";"";"";"";"";"D"
"04121-21741";"ru";"4189";"Komatsu";"0.00";"5394.38";"0.000";"2";"0";"0.00";"24 Sep 2019 12:35:37";"N";"";"N";"B";"N";"R";"";"";"04121-21741 РЕМЕНЬ ПРИВОДНОЙ";"04121-21741 РЕМЕНЬ ПРИВОДНОЙ, ";"";"";"";"";"VAT";"";"";"";"04121-21741-peleme-ophbndmni";"";"A";"60";"https://service.parts/komatsu/04121-21741-peleme-ophbndmni/";"0";"0";"0";"N";"";"";"";"min:0;max:0";"length:0;width:0;height:0";"0";"";"P";"F";"КОМЕК МАШИНЕРИ";"";"";"";"";"";"";"";"D"
"04121-22271";"ru";"4190";"Komatsu";"0.00";"5413.12";"0.000";"3";"0";"0.00";"24 Sep 2019 12:35:37";"N";"";"N";"B";"N";"R";"";"";"04121-22271 КОМПЛЕКТ ПРИВОДНЫХ РЕМНЕЙ ИЗ 2 ШТУК";"04121-22271 КОМПЛЕКТ ПРИВОДНЫХ РЕМНЕЙ ИЗ 2 ШТУК, ";"";"";"";"";"VAT";"";"";"";"04121-22271-ynlokeyr-ophbndmshu-pelmei-hg-2-rsy";"";"A";"";"https://service.parts/komatsu/04121-22271-ynlokeyr-ophbndmshu-pelmei-hg-2-rsy/";"0";"0";"0";"N";"";"";"";"min:0;max:0";"length:0;width:0;height:0";"0";"";"P";"F";"КОМЕК МАШИНЕРИ";"";"";"";"";"";"";"";"D"
"04121-32265";"ru";"4191";"Komatsu";"0.00";"10046.31";"1.000";"5";"0";"0.00";"24 Sep 2019 12:35:37";"N";"";"N";"B";"N";"R";"";"";"04121-32265 РЕМЕНЬ ПРИВОДНОЙ";"04121-32265 РЕМЕНЬ ПРИВОДНОЙ, ";"";"";"";"";"VAT";"";"";"";"04121-32265-peleme-ophbndmni";"";"A";"";"https://service.parts/komatsu/04121-32265-peleme-ophbndmni/";"0";"0";"0";"N";"";"";"";"min:0;max:0";"length:0;width:0;height:0";"0";"";"P";"F";"КОМЕК МАШИНЕРИ";"";"";"";"";"";"";"";"D"
"04121-32564";"ru";"4192";"Komatsu";"0.00";"9954.91";"1.000";"2";"0";"0.00";"24 Sep 2019 12:35:37";"N";"";"N";"B";"N";"R";"";"";"04121-32564 РЕМЕНЬ";"04121-32564 РЕМЕНЬ, ";"";"";"";"";"VAT";"";"";"";"04121-32564-peleme";"";"A";"24";"https://service.parts/komatsu/04121-32564-peleme/";"0";"0";"0";"N";"";"";"";"min:0;max:0";"length:0;width:0;height:0";"0";"";"P";"F";"КОМЕК МАШИНЕРИ";"";"";"";"";"";"";"";"D"
"04122-32572";"ru";"4193";"Komatsu";"0.00";"15989.08";"0.000";"6";"0";"0.00";"24 Sep 2019 12:35:37";"N";"";"N";"B";"N";"R";"";"";"04122-32572 РЕМЕНЬ";"04122-32572 РЕМЕНЬ, ";"";"";"";"";"VAT";"";"";"";"04122-32572-peleme";"";"A";"30";"https://service.parts/komatsu/04122-32572-peleme/";"0";"0";"0";"N";"";"";"";"min:0;max:0";"length:0;width:0;height:0";"0";"";"P";"F";"КОМЕК МАШИНЕРИ";"";"";"";"";"";"";"";"D"
"04122-32575";"ru";"4194";"Komatsu";"0.00";"16410.10";"2.000";"1";"0";"0.00";"24 Sep 2019 12:35:37";"N";"";"N";"B";"N";"R";"";"";"04122-32575 КОМПЛЕКТ ПРИВОДНЫХ РЕМНЕЙ";"04122-32575 КОМПЛЕКТ ПРИВОДНЫХ РЕМНЕЙ, ";"";"";"";"";"VAT";"";"";"";"04122-32575-ynlokeyr-ophbndmshu-pelmei";"";"A";"3";"https://service.parts/komatsu/04122-32575-ynlokeyr-ophbndmshu-pelmei/";"0";"0";"0";"N";"";"";"";"min:0;max:0";"length:0;width:0;height:0";"0";"";"P";"F";"КОМЕК МАШИНЕРИ";"";"";"";"";"";"";"";"D"
"04205-10618";"ru";"4195";"Komatsu";"0.00";"103.72";"0.000";"2";"0";"0.00";"24 Sep 2019 12:35:37";"N";"";"N";"B";"N";"R";"";"";"04205-10618 ШТИФТ";"04205-10618 ШТИФТ, ";"";"";"";"";"VAT";"";"";"";"04205-10618-rhtr";"";"A";"27";"https://service.parts/komatsu/04205-10618-rhtr/";"0";"0";"0";"N";"";"";"";"min:0;max:0";"length:0;width:0;height:0";"0";"";"P";"F";"КОМЕК МАШИНЕРИ";"";"";"";"";"";"";"";"D"
