Product code;Language;Product id;Category;List price;Price;Weight;Quantity;Min quantity;Shipping freight;Date added;Downloadable;Files;Ship downloadable;Inventory tracking;Free shipping;Zero price action;Thumbnail;Detailed image;Product name;Description;Meta keywords;Meta description;Search words;Page title;Taxes;Features;Options;Secondary categories;SEO name;Short description;Status;Popularity;Vendor
"42N-856-1211";"ru";"6175";"Все///Komatsu";"0.00";"6031.88";"3.000";"22";"0";"0.00";"24 Sep 2019 12:35:37";"N";"";"N";"B";"N";"R";"";"";"42N-856-1211 ПАЛЕЦ, ";"42N-856-1211 ПАЛЕЦ, ";"";"";"";"";"VAT";"(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]";"";"";"42n-856-1211-oyukezh";"";"A";"";"КОМЕК МАШИНЕРИ"
"42N-856-1222";"ru";"6176";"Все///Komatsu";"0.00";"12202.30";"7.000";"1";"0";"0.00";"24 Sep 2019 12:35:37";"N";"";"N";"B";"N";"R";"";"";"42N-856-1222 ШТИФТ, ";"42N-856-1222 ШТИФТ, ";"";"";"";"";"VAT";"(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]";"";"";"42n-856-1222-rhtr";"";"A";"";"КОМЕК МАШИНЕРИ"
"42N-856-1230";"ru";"6177";"Все///Komatsu";"0.00";"7546.49";"1.000";"1";"0";"0.00";"24 Sep 2019 12:35:37";"N";"";"N";"B";"N";"R";"";"";"42N-856-1230 ШТИФТ, ";"42N-856-1230 ШТИФТ, ";"";"";"";"";"VAT";"(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]";"";"";"42n-856-1230-rhtr";"";"A";"";"КОМЕК МАШИНЕРИ"
"42N-856-1410";"ru";"6178";"Все///Komatsu";"0.00";"6225.47";"1.000";"2";"0";"0.00";"24 Sep 2019 12:35:37";"N";"";"N";"B";"N";"R";"";"";"42N-856-1410 ПАЛЕЦ СТАЛЬ, ";"42N-856-1410 ПАЛЕЦ СТАЛЬ, ";"";"";"";"";"VAT";"(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]";"";"";"42n-856-1410-oyukezh-yaryuke";"";"A";"";"КОМЕК МАШИНЕРИ"
"42N-856-1520";"ru";"6179";"Все///Komatsu";"0.00";"6796.76";"0.000";"20";"0";"0.00";"24 Sep 2019 12:35:37";"N";"";"N";"B";"N";"R";"";"";"42N-856-1520 ПЛАСТИНА СКОЛЬЖЕНИЯ, ";"42N-856-1520 ПЛАСТИНА СКОЛЬЖЕНИЯ, ";"";"";"";"";"VAT";"(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]";"";"";"42n-856-1520-okyuyarhmyu-yaynkefemh";"";"A";"";"КОМЕК МАШИНЕРИ"
"42N-856-1730";"ru";"6180";"Все///Komatsu";"0.00";"6058.45";"3.000";"15";"0";"0.00";"24 Sep 2019 12:35:37";"N";"";"N";"B";"N";"R";"";"";"42N-856-1730 ШТИФТ, ";"42N-856-1730 ШТИФТ, ";"";"";"";"";"VAT";"(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]";"";"";"42n-856-1730-rhtr";"";"A";"";"КОМЕК МАШИНЕРИ"
"42N-856-1740";"ru";"6181";"Все///Komatsu";"0.00";"4435.64";"4.000";"9";"0";"0.00";"24 Sep 2019 12:35:37";"N";"";"N";"B";"N";"R";"";"";"42N-856-1740 ПАЛЕЦ ФИКСИРУЮЩИЙ СТАЛЬ, ";"42N-856-1740 ПАЛЕЦ ФИКСИРУЮЩИЙ СТАЛЬ, ";"";"";"";"";"VAT";"(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]";"";"";"42n-856-1740-oyukezh-thyyahpschyhi-yaryuke";"";"A";"";"КОМЕК МАШИНЕРИ"
"42N-856-1760";"ru";"6182";"Все///Komatsu";"0.00";"6166.62";"5.000";"11";"0";"0.00";"24 Sep 2019 12:35:37";"N";"";"N";"B";"N";"R";"";"";"42N-856-1760 ФИКСАТОР, ";"42N-856-1760 ФИКСАТОР, ";"";"";"";"";"VAT";"(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]";"";"";"42n-856-1760-thyyayurnp";"";"A";"";"КОМЕК МАШИНЕРИ"
"42N-856-1780";"ru";"6183";"Все///Komatsu";"0.00";"4323.67";"4.000";"11";"0";"0.00";"24 Sep 2019 12:35:37";"N";"";"N";"B";"N";"R";"";"";"42N-856-1780 ПАЛЕЦ ФИКСИРУЮЩИЙ СТАЛЬ, ";"42N-856-1780 ПАЛЕЦ ФИКСИРУЮЩИЙ СТАЛЬ, ";"";"";"";"";"VAT";"(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]";"";"";"42n-856-1780-oyukezh-thyyahpschyhi-yaryuke";"";"A";"";"КОМЕК МАШИНЕРИ"
"42N-856-1790";"ru";"6184";"Все///Komatsu";"0.00";"8282.91";"5.000";"1";"0";"0.00";"24 Sep 2019 12:35:37";"N";"";"N";"B";"N";"R";"";"";"42N-856-1790 ФИКСАТОР СТАЛЬ, ";"42N-856-1790 ФИКСАТОР СТАЛЬ, ";"";"";"";"";"VAT";"(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]";"";"";"42n-856-1790-thyyayurnp-yaryuke";"";"A";"";"КОМЕК МАШИНЕРИ"
