Product code,Language,Vendor,Max quantity,Quantity step,List qty count,Out of stock actions,Promo text,Product URL,Image URL,Detailed image URL,Items in box,Box size,Usergroup IDs,Available since,Options type,Exceptions type,Variation group code,Variation group id,Variation parent product id,Variation sub group id,Variation set as default,Discussion,Product id,Category,List price,Price,Weight,Quantity,Min quantity,Shipping freight,Date added,Downloadable,Files,Ship downloadable,Inventory tracking,Free shipping,Zero price action,Thumbnail,Detailed image,Product name,Description,Meta keywords,Meta description,Search words,Page title,Taxes,Features,Options,Secondary categories,SEO name,Short description,Status,Popularity
"235-25-11280","ru","КОМЕК МАШИНЕРИ","0","0","0","N","","https://service.parts/komatsu/235-25-11280-ankr/","https://service.parts/images/thumbnails/280/147/detailed/2/%D0%91%D0%9E%D0%9B%D0%A2_28oj-tl.png","https://service.parts/images/detailed/2/БОЛТ_28oj-tl.png","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","5434","Komatsu","0.00","4.00","0.650","10","0","0.00","24 Sep 2019 12:35:37","N","","N","B","N","R","","exim/backup/images/БОЛТ_28oj-tl.png#{[da]:;[de]:;[el]:;[en]:;[es]:;[fr]:;[it]:;[nl]:;[no]:;[ro]:;[ru]:;}","235-25-11280 БОЛТ,","235-25-11280 БОЛТ,","","","","","НДС 20%","(Основные характеристики) Бренд: S[KOMATSU]; (Основные характеристики) Страна производитель: S[Komatsu Ltd.]; (Основные характеристики) Производитель: S[KOMATSU]; (Основные характеристики) Код производителя: T[235-25-11280]","","","235-25-11280-ankr","","A","222"
"235-27-11750","ru","КОМЕК МАШИНЕРИ","0","0","0","N","","https://service.parts/komatsu/235-27-11750-veunk/","","","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","5435","Komatsu","0.00","2.00","0.010","1","0","0.00","24 Sep 2019 12:35:37","N","","N","B","N","R","","","235-27-11750 ЧЕХОЛ,","235-27-11750 ЧЕХОЛ,","","","","","НДС 20%","(Основные характеристики) Бренд: S[KOMATSU]; (Основные характеристики) Страна производитель: S[Komatsu Ltd.]; (Основные характеристики) Производитель: S[KOMATSU]; (Основные характеристики) Код производителя: T[235-27-11750]","","","235-27-11750-veunk","","A","27"
"235-27-12260","ru","КОМЕК МАШИНЕРИ","0","0","0","N","","https://service.parts/komatsu/235-27-12260-depfyureke/","","","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","5436","Komatsu","0.00","8.00","0.040","4","0","0.00","24 Sep 2019 12:35:37","N","","N","B","N","R","","","235-27-12260 ДЕРЖАТЕЛЬ,","235-27-12260 ДЕРЖАТЕЛЬ,","","","","","НДС 20%","(Основные характеристики) Бренд: S[KOMATSU]; (Основные характеристики) Страна производитель: S[Komatsu Ltd.]; (Основные характеристики) Производитель: S[KOMATSU]; (Основные характеристики) Код производителя: T[235-27-12260]","","","235-27-12260-depfyureke","","A","18"
"235-40-12202","ru","КОМЕК МАШИНЕРИ","0","0","0","N","","https://service.parts/komatsu/235-40-12202-ykyuoyum-b-yaanpe/","","","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","5437","Komatsu","0.00","312.00","6.400","1","0","0.00","24 Sep 2019 12:35:37","N","","N","B","N","R","","","235-40-12202 КЛАПАН В СБОРЕ,","235-40-12202 КЛАПАН В СБОРЕ,","","","","","НДС 20%","(Основные характеристики) Бренд: S[KOMATSU]; (Основные характеристики) Страна производитель: S[Komatsu Ltd.]; (Основные характеристики) Производитель: S[KOMATSU]; (Основные характеристики) Код производителя: T[235-40-12202]","","","235-40-12202-ykyuoyum-b-yaanpe","","A","54"
"235-44-11781","ru","КОМЕК МАШИНЕРИ","0","0","0","N","","https://service.parts/vse/komatsu/235-44-11781-pelynlokeyr/","","","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","5438","Все///Komatsu","0.00","40378.31","0.000","0","0","0.00","24 Sep 2019 12:35:37","N","","N","B","N","R","","","235-44-11781 РЕМКОМПЛЕКТ, ","235-44-11781 РЕМКОМПЛЕКТ, ","","","","","НДС 20%","(Основные характеристики) Бренд: S[Komatsu]; (Основные характеристики) Страна производитель: S[Япония]; (Основные характеристики) Производитель: S[Komatsu Ltd]","","","235-44-11781-pelynlokeyr","","A","12"
"235-46-00010","ru","КОМЕК МАШИНЕРИ","0","0","0","N","","https://service.parts/komatsu/235-46-00010-pecskhpnbnvmyu-opnykyudyyu/","","","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","5439","Komatsu","0.00","2.00","0.020","4","0","0.00","24 Sep 2019 12:35:37","N","","N","B","N","R","","","235-46-00010 РЕГУЛИРОВОЧНАЯ ПРОКЛАДКА,","235-46-00010 РЕГУЛИРОВОЧНАЯ ПРОКЛАДКА,","","","","","НДС 20%","(Основные характеристики) Бренд: S[KOMATSU]; (Основные характеристики) Страна производитель: S[Komatsu Ltd.]; (Основные характеристики) Производитель: S[KOMATSU]; (Основные характеристики) Код производителя: T[235-46-00010]","","","235-46-00010-pecskhpnbnvmyu-opnykyudyyu","","A","27"
"235-46-11420","ru","КОМЕК МАШИНЕРИ","0","0","0","N","","https://service.parts/komatsu/235-46-11420-brskyyu/","","","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","5440","Komatsu","0.00","29.00","2.500","6","0","0.00","24 Sep 2019 12:35:37","N","","N","B","N","R","","","235-46-11420 ВТУЛКА,","235-46-11420 ВТУЛКА,","","","","","НДС 20%","(Основные характеристики) Бренд: S[KOMATSU]; (Основные характеристики) Страна производитель: S[Komatsu Ltd.]; (Основные характеристики) Производитель: S[KOMATSU]; (Основные характеристики) Код производителя: T[235-46-11420]","","","235-46-11420-brskyyu","","A","54"
"235-46-11430","ru","КОМЕК МАШИНЕРИ","0","0","0","N","","https://service.parts/komatsu/235-46-11430-brskyyu/","","","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","5441","Komatsu","0.00","16.00","1.100","2","0","0.00","24 Sep 2019 12:35:37","N","","N","B","N","R","","","235-46-11430 ВТУЛКА,","235-46-11430 ВТУЛКА,","","","","","НДС 20%","(Основные характеристики) Бренд: S[KOMATSU]; (Основные характеристики) Страна производитель: S[Komatsu Ltd.]; (Основные характеристики) Производитель: S[KOMATSU]; (Основные характеристики) Код производителя: T[235-46-11430]","","","235-46-11430-brskyyu","","A","21"
"235-46-11440","ru","КОМЕК МАШИНЕРИ","0","0","0","N","","https://service.parts/komatsu/235-46-11440-brskyyu/","","","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","5442","Komatsu","0.00","12.00","0.950","2","0","0.00","24 Sep 2019 12:35:37","N","","N","B","N","R","","","235-46-11440 ВТУЛКА,","235-46-11440 ВТУЛКА,","","","","","НДС 20%","(Основные характеристики) Бренд: S[KOMATSU]; (Основные характеристики) Страна производитель: S[Komatsu Ltd.]; (Основные характеристики) Производитель: S[KOMATSU]; (Основные характеристики) Код производителя: T[235-46-11440]","","","235-46-11440-brskyyu","","A","72"
"235-46-11450","ru","КОМЕК МАШИНЕРИ","0","0","0","N","","https://service.parts/komatsu/235-46-11450-cyuiyyu/","https://service.parts/images/thumbnails/280/280/detailed/2/%D0%93%D0%B0%D0%B9%D0%BA%D0%B0ogo_9lsg-w9.png","https://service.parts/images/detailed/2/Гайкаogo_9lsg-w9.png","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","5443","Komatsu","0.00","16.00","1.000","4","0","0.00","24 Sep 2019 12:35:37","N","","N","B","N","R","","exim/backup/images/Гайкаogo_9lsg-w9.png#{[da]:;[de]:;[el]:;[en]:;[es]:;[fr]:;[it]:;[nl]:;[no]:;[ro]:;[ru]:;}","235-46-11450 ГАЙКА,","235-46-11450 ГАЙКА,","","","","","НДС 20%","(Основные характеристики) Бренд: S[KOMATSU]; (Основные характеристики) Страна производитель: S[Komatsu Ltd.]; (Основные характеристики) Производитель: S[KOMATSU]; (Основные характеристики) Код производителя: T[235-46-11450]","","","235-46-11450-cyuiyyu","","A","78"
"235-46-11710","ru","КОМЕК МАШИНЕРИ","0","0","0","N","","https://service.parts/komatsu/235-46-11710-ankr/","https://service.parts/images/thumbnails/280/147/detailed/2/%D0%91%D0%9E%D0%9B%D0%A2_9c7g-fd.png","https://service.parts/images/detailed/2/БОЛТ_9c7g-fd.png","min:0;max:0","length:0;width:0;height:0","0","","P","F","","","","","","D","5444","Komatsu","0.00","879.60","0.030","1","0","0.00","24 Sep 2019 12:35:37","N","","N","B","N","R","","exim/backup/images/БОЛТ_9c7g-fd.png#{[da]:;[de]:;[el]:;[en]:;[es]:;[fr]:;[it]:;[nl]:;[no]:;[ro]:;[ru]:;}","235-46-11710 БОЛТ,","235-46-11710 БОЛТ,","","","","","НДС 20%","(Основные характеристики) Бренд: S[KOMATSU]; (Основные характеристики) Страна производитель: S[Komatsu Ltd.]; (Основные характеристики) Производитель: S[KOMATSU]; (Основные характеристики) Код производителя: T[235-46-11710]","","","235-46-11710-ankr","","A","21"
