Product code;Language;Product id;Category;List price;Price;Weight;Quantity;Min quantity;Shipping freight;Date added;Downloadable;Files;Ship downloadable;Inventory tracking;Free shipping;Zero price action;Thumbnail;Detailed image;Product name;Description;Meta keywords;Meta description;Search words;Page title;Taxes;Features;Options;Secondary categories;SEO name;Short description;Status;Popularity
"01010-E1265";"ru";"7741";"Komatsu";"0.00";"287.54";"0.060";"50";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01010-E1265 БОЛТ. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7741";"";"A";""
"01011-61880";"ru";"7742";"Komatsu";"0.00";"974.54";"0.402";"14";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01011-61880 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7742";"";"A";""
"01011-62425";"ru";"7743";"Komatsu";"0.00";"1288.78";"0.549";"1";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01011-62425 БОЛТ. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7743";"";"A";""
"01011-62450";"ru";"7744";"Komatsu";"0.00";"558.02";"0.635";"28";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01011-62450 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7744";"";"A";""
"01011-62455";"ru";"7745";"Komatsu";"0.00";"713.65";"0.652";"8";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01011-62455 БОЛТ. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7745";"";"A";""
"01011-62475";"ru";"7746";"Komatsu";"0.00";"721.24";"0.721";"4";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01011-62475 БОЛТ. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7746";"";"A";""
"01011-62710";"ru";"7747";"Komatsu";"0.00";"1476.70";"0.653";"201";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01011-62710 БОЛТ 27ММ. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7747";"";"A";""
"01011-62720";"ru";"7748";"Komatsu";"0.00";"880.67";"0.696";"36";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01011-62720 Болт. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7748";"";"A";""
"01011-62790";"ru";"7749";"Komatsu";"0.00";"897.75";"1.002";"8";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01011-62790 БОЛТ. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7749";"";"A";""
"01011-63000";"ru";"7750";"Komatsu";"0.00";"988.86";"0.781";"9";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01011-63000 БОЛТ. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7750";"";"A";""
"01011-81010";"ru";"7751";"Komatsu";"0.00";"324.51";"0.080";"6";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01011-81010 БОЛТ. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7751";"";"A";""
"01011-81210";"ru";"7752";"Komatsu";"0.00";"108.19";"0.110";"7";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01011-81210 БОЛТ. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7752";"";"A";""
"01011-81220";"ru";"7753";"Komatsu";"0.00";"104.40";"0.120";"2";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01011-81220 БОЛТ. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7753";"";"A";""
"01011-81280";"ru";"7754";"Komatsu";"0.00";"607.95";"0.170";"8";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01011-81280 БОЛТ. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7754";"";"A";""
