Product code;Language;Product id;Category;Price;Weight;Quantity;Date added;Description;Features;SEO name;Status
01531-08516;ru;4085;Komatsu;5415.94;0.53;4;24 Sep 2019 12:35:37;01531-08516 ГАЙКА. ;"Бренд: S[Komatsu]; Страна производитель: S[Япония]; Производитель: S[Komatsu Ltd.]";01531-08516-cyuiyyu;A
01541-11260;ru;4086;Komatsu;655.17;0.06;1;24 Sep 2019 12:35:37;01541-11260 ГАЙКА. ;"Бренд: S[Komatsu]; Страна производитель: S[Япония]; Производитель: S[Komatsu Ltd.]";01541-11260-cyuiyyu;A
01580-03931;ru;4087;Komatsu;1969.62;0.47;23;24 Sep 2019 12:35:37;01580-03931 ГАЙКА. ;"Бренд: S[Komatsu]; Страна производитель: S[Япония]; Производитель: S[Komatsu Ltd.]";01580-03931-cyuiyyu;A
01580-11008;ru;4088;Komatsu;17.00;0.01;6;24 Sep 2019 12:35:37;01580-11008 ГАЙКА. ;"Бренд: S[Komatsu]; Страна производитель: S[Япония]; Производитель: S[Komatsu Ltd.]";01580-11008-cyuiyyu;A
01580-11411;ru;4089;Komatsu;100.63;0.02;1;24 Sep 2019 12:35:37;01580-11411 ШАЙБА. ;"Бренд: S[Komatsu]; Страна производитель: S[Япония]; Производитель: S[Komatsu Ltd.]";01580-11411-yuiayu;A
01580-13629;ru;4090;Komatsu;1529.08;0.3;8;24 Sep 2019 12:35:37;01580-13629 ГАЙКА. ;"Бренд: S[Komatsu]; Страна производитель: S[Япония]; Производитель: S[Komatsu Ltd.]";01580-13629-cyuiyyu;A
01582-01411;ru;4091;Komatsu;100.63;0.02;34;24 Sep 2019 12:35:37;01582-01411 ГАЙКА. ;"Бренд: S[Komatsu]; Страна производитель: S[Япония]; Производитель: S[Komatsu Ltd.]";01582-01411-cyuiyyu;A
01582-01815;ru;4092;Komatsu;188.95;0.04;4;24 Sep 2019 12:35:37;01582-01815 ГАЙКА D18ММ. ;"Бренд: S[Komatsu]; Страна производитель: S[Япония]; Производитель: S[Komatsu Ltd.]";01582-01815-cyuiyyu-d18ll;A
01582-11210;ru;4093;Komatsu;67.78;0.01;40;24 Sep 2019 12:35:37;01582-11210 ГАЙКА. ;"Бренд: S[Komatsu]; Страна производитель: S[Япония]; Производитель: S[Komatsu Ltd.]";01582-11210-cyuiyyu;A
01584-01210;ru;4094;Komatsu;87.32;0.02;1;24 Sep 2019 12:35:37;01584-01210 ГАЙКА (12ММ). ;"Бренд: S[Komatsu]; Страна производитель: S[Япония]; Производитель: S[Komatsu Ltd.]";01584-01210-cyuiyyu-12ll;A
01590-24548;ru;4095;Komatsu;8850.98;0.9;4;24 Sep 2019 12:35:37;01590-24548 ГАЙКА. ;"Бренд: S[Komatsu]; Страна производитель: S[Япония]; Производитель: S[Komatsu Ltd.]";01590-24548-cyuiyyu;A
01593-13621;ru;4096;Komatsu;2063.07;0.2;5;24 Sep 2019 12:35:37;01593-13621 ШАЙБА. ;"Бренд: S[Komatsu]; Страна производитель: S[Япония]; Производитель: S[Komatsu Ltd.]";01593-13621-yuiayu;A
01593-23018;ru;4097;Komatsu;1267.20;0.12;11;24 Sep 2019 12:35:37;01593-23018. ГАЙКА. ;"Бренд: S[Komatsu]; Страна производитель: S[Япония]; Производитель: S[Komatsu Ltd.]";01593-23018-cyuiyyu;A
01593-33621;ru;4098;Komatsu;2063.07;0.2;2;24 Sep 2019 12:35:37;01593-33621 ГАЙКА. ;"Бренд: S[Komatsu]; Страна производитель: S[Япония]; Производитель: S[Komatsu Ltd.]";01593-33621-cyuiyyu;A
01598-00608;ru;4099;Komatsu;47.24;0.004;4;24 Sep 2019 12:35:37;01598-00608 БОЛТ. ;"Бренд: S[Komatsu]; Страна производитель: S[Япония]; Производитель: S[Komatsu Ltd.]";01598-00608-ankr;A
